"","variavel","beta","or","direcao"
"1","abep3_t13",0.436496442807519,1.5472767385216,"Risco"
"2","srq11_t11",0.339456271080783,1.40418388757114,"Risco"
"3","interr_t11",0.225039941309961,1.25237273660058,"Risco"
"4","panico_lifetime1",0.168882107629854,1.18398054842274,"Risco"
"5","algmata_t11",0.136945596979037,1.14676575930169,"Risco"
"6","abuso_emocional",0.0683231357300985,1.07071123764223,"Risco"
"7","somabdi_t1",0.00445207947281771,1.00446200470247,"Risco"
"8","neg_emocional",-0.01205082363912,0.988021496737865,"Protetivo"
"9","alcool2_t11",-0.0155820228598821,0.98453874875594,"Protetivo"
"10","sexo_t12",-0.0218087685134803,0.978427323273542,"Protetivo"
"11","escol_t12",-0.0377293327364614,0.96297355103621,"Protetivo"
"12","estano_t11",-0.112675715145352,0.893440342315246,"Protetivo"
