"","roc_curve.sensitivities"
"1",1
"2",1
"3",1
"4",1
"5",0.975
"6",0.975
"7",0.975
"8",0.975
"9",0.975
"10",0.975
"11",0.95
"12",0.95
"13",0.925
"14",0.925
"15",0.925
"16",0.925
"17",0.9
"18",0.875
"19",0.875
"20",0.85
"21",0.825
"22",0.8
"23",0.8
"24",0.8
"25",0.8
"26",0.8
"27",0.8
"28",0.8
"29",0.8
"30",0.8
"31",0.8
"32",0.775
"33",0.75
"34",0.75
"35",0.725
"36",0.725
"37",0.725
"38",0.7
"39",0.7
"40",0.7
"41",0.675
"42",0.65
"43",0.625
"44",0.625
"45",0.625
"46",0.625
"47",0.6
"48",0.575
"49",0.575
"50",0.55
"51",0.525
"52",0.5
"53",0.475
"54",0.475
"55",0.475
"56",0.45
"57",0.425
"58",0.4
"59",0.4
"60",0.375
"61",0.35
"62",0.35
"63",0.325
"64",0.325
"65",0.3
"66",0.3
"67",0.275
"68",0.275
"69",0.25
"70",0.225
"71",0.2
"72",0.175
"73",0.15
"74",0.125
"75",0.1
"76",0.075
"77",0.075
"78",0.05
"79",0.025
"80",0
